hitIndex,hitDocId,hitStart,hitEnd,score,quoteIndex,quoteStart,quoteEnd,quoteDocId,workCount,quoteMeta,hitMeta,quoteText,hitText,result,annotator
0,0177400800,390967,391346,0.901,0,211082,211369,A48874,41,top5,top5,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","ive<br />how God s ill make us relifm infinite Pleasures<br />in the Enjoymlnnt of him, than to apprehend<br />how, in our present State, the Bodies occalion<br />in us pleasant Sensations: Since there being no<br />natural Relation between those Sensations, and<br />the A&tions of Bodies upon that which our<br /><br />Soul<br /><br />Soul is united to, there is no other Way to folse<br />that Difficulty, but by having Recourse to",M,2
1,0031900105,399713,400092,0.901,0,211082,211369,A48874,41,top5,top5,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","side for a while our re-<br />membrance of the good and evil we have seen<br />befalling mankind, we should be apt to con-<br />clude that the pleasures and pains, the fuc-<br />cesses and disappointments of all were in<br />quantity alike. For though it be certain God<br />may uncontrolably and lawfully deal with his<br />creatures as he pleases, yet can we find no<br />reason in any conceptions we can form of him,",M,2
2,0280200303,64897,65277,0.899,0,211082,211369,A48874,41,top5,top5,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","and<br /><br />and is the true and proper Cause of all our<br />Sensations, of that Pleasure and that Pain<br />which we feel by the Mediation of the Cor-<br />poreal and Sensible World. That in the<br />various Rencounter of Bodies knockingand<br />juftling one against ahother the only Part of<br />us that is aded upon, is our Bodj: and<br />though our Spirit susser by that Occasion,<br />yet that 'tis God only that truly ads",M,2
3,0725200900,546080,546501,0.897,0,211082,211369,A48874,41,top5,top5,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God is very<br />natural and affecing to every warm and virtuous<br />heart. Why, therefore, are we so continually<br />difcontendcd and miserable? Why do we so<br />frequently complain of the want of happiness<br />and enjoyment, if it be not because we permit<br />the mind to be imposed upon by false appear-<br />ances; because sensuality frequently predomi-<br />nates over reason; because we prefer deceitful<br />gifts and fleeting pleasures to more essential",M,2
4,0942900105,716029,716417,0.895,0,211082,211369,A48874,41,top5,top5,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","and dif-<br />position of our minds,and in the actions and course<br />of our lives, neither can God take pleasure in us,<br />nor we in him, but there will be a perpetual jarring<br />and discord between him and us; and tho' we were<br />in heaven, and feated in the place of the blefled, yet<br />we lhould not, nay we could not be happy; because<br />we hould want the necessary materials and ingredi-<br />ents of happiness.",T,2
159,0132500500,215855,216208,0.863,0,211082,211369,A48874,41,top5,top0-10,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","perfetly<br />happy. How shall we reconcile these<br />things ? How Ihall we make the Almighty's<br />works agree? There is one certain way to<br />remove all difficulties, to teach us whence<br />we came, whither we go, and what we<br />fliall be. If God hath sent us into this<br />world, it is not to dwell here for ever; if he<br />hath lodged our fouls in weak and perish-<br />able bodies, it",T,2
1010,0071101000,693111,693471,0.845,0,211082,211369,A48874,41,top5,top0-10,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","ance beholds them, and his Delight is<br />in them, and their Prayers: But all that adds nothing<br />i to the infinite Satisfaitiun and Complacency which the<br />dEternal Mind hath in it self. God can enjoy himself<br />without us, tho' we cou'd have but little Enjoyment of<br />i our selves without our Friends; This magnifies his Con-<br />n descension, in that tho' our Services be no",N,2
1026,1116801400,12792,13140,0.845,0,211082,211369,A48874,41,top5,top0-10,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","has set forth to<br />us by all such things as we are most com-<br />monly affected with :-As a crown,-a<br />kingdom,-a treasure, an inheritance<br /><br />undefiled,<br /><br />undefiled, that fadeth not away ;-and a-<br />state of everlasting joy and pleafurle.<br /><br />Neg. If God designed men for this<br />happiness, how came they to forfeit their<br />title to it ?<br /><br />Min. They do it by being guilty",N,2
1710,0242800400,598284,598677,0.839,0,211082,211369,A48874,41,top5,top0-10,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","nature and laws<br />of the christian Religion, and very low<br />and too unworthy thoughts of the joys<br />and glories of Heaven, and of all that our<br />Saviour hath done and suffered for us in<br />order to our obtaining them, if we can<br />after all this still content our selves with<br />any lower degrees of grace and holiness in<br />this life, or of glory in the next, that is,<br />with lower degrees of the love and fa-<br />vour",T,2
2115,0261601500,58522,58857,0.836,0,211082,211369,A48874,41,top5,top0-10,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God is not in all our thoughts, it is well if<br />: e ia anty : Of the Rock that begat us, we<br />riv been unmindful o, and have forgotten the<br />,;il that formed us p; We have forgotten him<br />',? witlhout number, and our hearts have walk-<br />d after vanity, and become vain. Their inward<br />* a.it having been, that our houses flould con-<br />itue for ever;",T,2
