hitIndex,hitDocId,hitStart,hitEnd,score,quoteIndex,quoteStart,quoteEnd,quoteDocId,workCount,quoteMeta,hitMeta,quoteText,hitText,result,annotator
0,0177400800,390967,391346,0.901,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","ive
how God s ill make us relifm infinite Pleasures
in the Enjoymlnnt of him, than to apprehend
how, in our present State, the Bodies occalion
in us pleasant Sensations: Since there being no
natural Relation between those Sensations, and
the A&tions of Bodies upon that which our

Soul

Soul is united to, there is no other Way to folse
that Difficulty, but by having Recourse to",T,2
1,0031900105,399713,400092,0.901,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","side for a while our re-
membrance of the good and evil we have seen
befalling mankind, we should be apt to con-
clude that the pleasures and pains, the fuc-
cesses and disappointments of all were in
quantity alike. For though it be certain God
may uncontrolably and lawfully deal with his
creatures as he pleases, yet can we find no
reason in any conceptions we can form of him,",M,2
2,0280200303,64897,65277,0.899,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","and

and is the true and proper Cause of all our
Sensations, of that Pleasure and that Pain
which we feel by the Mediation of the Cor-
poreal and Sensible World. That in the
various Rencounter of Bodies knockingand
juftling one against ahother the only Part of
us that is aded upon, is our Bodj: and
though our Spirit susser by that Occasion,
yet that 'tis God only that truly ads",T,2
3,0725200900,546080,546501,0.897,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God is very
natural and affecing to every warm and virtuous
heart. Why, therefore, are we so continually
difcontendcd and miserable? Why do we so
frequently complain of the want of happiness
and enjoyment, if it be not because we permit
the mind to be imposed upon by false appear-
ances; because sensuality frequently predomi-
nates over reason; because we prefer deceitful
gifts and fleeting pleasures to more essential",T,2
4,0942900105,716029,716417,0.895,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","and dif-
position of our minds,and in the actions and course
of our lives, neither can God take pleasure in us,
nor we in him, but there will be a perpetual jarring
and discord between him and us; and tho' we were
in heaven, and feated in the place of the blefled, yet
we lhould not, nay we could not be happy; because
we hould want the necessary materials and ingredi-
ents of happiness.",T,2
5,0116100700,438259,438635,0.895,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God in the
Formation and Conltitution of Things,
bo to order and dispose their Parts, that
we naturally receive Pleasure or Pain
from the Sensation or Refleftion of the
Mind occasioned by them; which for
wife and good Reabons he hath so ap-
pointed, that thereby we might be moved
and excited more readily and chearfully
to Adtion. And what thus naturally
pleases and'delights",P,2
6,0050900103,368533,368910,0.894,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God hath done for
us all! Our very Capadity of receiving Pleasure from
our Fellow-creatures proceeds from our Creator, as
well as every other Source of Joy, which we feel to
spring up within ourselves. And we feel much less of
both, than we might and ought. We are so taken
up and disquieted, with imaginary or small Misfor-
tunes, with Uncafinefies and Pains for the molt Part",P,2
7,0039000202,121134,121497,0.894,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","Indeed all things are mixed, all in-
conflant, in Isort, all trifling, nor is
there, any where, what answers to our
desires. And, perhaps, God himself,
(if it be lawful to search into the divine
counsel) so attempers things, mingling
always adverse with prosperous, and
ikafons the sweet with the bitter; that
hence the mind may learn to despise
terrestrial enjoy",P,2
9,1571600300,192767,193135,0.891,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","? Our Joys and our Tears are al-
lotted us from Eternity, and what
variety soever there may appear in the
Circum (ances and Acci ents of our
lives, all comes to this in he up-shot,
such as we are our selves, such are the
things we have received, Transitory and
Mortal. Now what cause is here of
displeasure or complaint, if when we
have loft all that belongs to us, we",T,2
10,0505300100,1034219,1034585,0.889,0,211082,211369,A48874,41,specific_quotes_v1210,top20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","displeasure; yet, since the happiness of God is not capable ofan acce
or diminution; since we cannot conceive in God any palfions likethl0
which we feel in our selves, when any thing good or evil, joov0O
grievous, happens to us; since nothing which we can do is capable
causing delight or uneasiness in a Being uncapable of change; weCa
then laid to please God, when",T,2
