,quoteIndex,quoteText,hitDocId,hitText,hitStart,hitEnd,simScore,hitResult,estc_id,main_category,full_title,work_id,publication_year,language,publication_place,primary_author
0,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",346400202,"complex Idea, other Terms

l ay be introduced, that also denote compound
Ideas, though of an inferior Class. For the first
,a.' r; Idea being resolvable into others less complicated,

the Definition which enumerates there component
Ideas, muff confiul of the Names by which they are. expeffed.
And if it so happen, that the Ideas of this second Class are
also unknown, their Tern-s too o",134293,134680,0.865,Meaning Match,T79285,literature_and_arts,"The preceptor: containing a general course of education. Wherein the first principles of polite learning are laid down in a way most suitable for trying the genius, and advancing the instruction of youth. In twelve parts. Illustrated with Maps and useful Cuts. Viz. I. On Reading, Speaking, and Writing Letters. II. On Arithmetic, Geometry, and Architecture. III. On Geography and Astronomy. IV. On Chronology and History. V. On Rhetoric and Poetry. VI. On Drawing. Vii. On Logic. Viii. On Natural History. IX. On Ethics, or Morality. X. On Trade and Commerce. XI. On Laws and Government. XII. On Human Life and Manners. In Two Volumes. ...",X-the preceptor,1763,English,London,
1,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",852000101,"up such complex idea.---The
reason of this is, that the simple ideas, which make up our
complex ideas of substances, have no visible necessary con-
nexion, or inconsistence, with other simple ideas, whole co-
existence with them we would inform ourselves about.----
These ideas being liRewife, for the moll part, secondary qua-
lities, which depend upon the primary qualities of their minute
or insensible parts, or",10585684,10586099,0.859,Meaning Match,T135914,history,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S. The third edition corrected and amended; with some additions. In two volumes. ...",658-cyclopaedia,1740,English,Dublin,"chambers, ephraim, approximately 1680-1740"
2,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",297300105,"two or more ideas is called complex.

Complex Ideas are often confidered as tingle and distinct beings, though they
may be made up of several simple ideas; so a body, a spirit, a house, a tree, a
flower. But when several of there ideas ns a different kind are joined together,
which are wont to be confidered as distinct ingle beings, this is called a compounded
idea, whether these united ideas be simple or",75270,75678,0.858,Meaning Match,T100908,religion,"The works of the late reverend and learned Isaac Watts, D.D. published by himself, and now collected into six volumes. In which are also inserted the second part of the Improvement of the mind, An essay on education, and some additions to his Miscellaneous thoughts in prose and verse. Now first published from his manuscripts, and, the Direction of his Will, revised and corrected by D. Jennings, D.D. and the late P. Doddridge, D.D. ...",107991-works of reverend and learned isaac watts dd published by himself and now collected into six volumes,1753,English,London,"watts, isaac, 1674-1748"
3,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",25700100,"the precise nature and composition of the ideas affixed to those words which have
complex ideas, in a proper sense, i. e. which excite any combinations of simple ideas
united intimately by association; also to explain, upon this foundation, the proper use
of those words, which have no ideas. For there are many words which are mere
substitutes for other words, and many which are only auxiliaries. Now it cannot be
said, that either of these have ideas,",189311,189765,0.856,Meaning Match,T114325,philosophy,"Observations on man, his frame, his duty, and his expectations. In two parts. Part. I. Containing Observations on the Frame of the Human Body and Mind, and on their Mutual Connexions and Influences. Part. II. Containing Observations on the Duty and Expectations of Mankind. By David Hartley, M.A. Reprinted from the author's edition in 1749. To which are now added, notes and additions to the Second part; translated from the German of the Rev. Herman Andrew Pistorius, Rector of Poseritz in the Island of Rugen. Also a Sketch of the life and Character, and a Head of the author.",3396-observations on man,1791,English,London,"hartley, david, 1705-1757"
4,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",539801000,", a
heavy Body, afwift Horse, C&c. Every Thing that
can be divided by the Mind into two or more Ideas
is called complex.

Complex Ideas are often confidered as single and
diflinS Beings, tho' they may be made up of fe-
veral simple Ideas; so a Body, a Spirit, a House,
a Tree, a Flower. But when several of these
Ideas of a different Kind are join'd together,",58038,58397,0.854,Meaning Match,T81772,philosophy,"Logick: or, the right use of reason in the enquiry after truth. With A Variety of Rules to guard against Error, in the Affairs of Religion and Human Life, as well as in the Sciences. By Isaac Watts, D.D.",468-logick or right use of reason in inquiry after truth,1740,English,London,"watts, isaac, 1674-1748"
5,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",689200107,"the ideas they have in their minds, being referred to
y real essences as archetypes which are unknown, they

must be so far from being adequate, that they cannot
s be supposed to be any representation of them at all.
- Our complex ideas of substances are nothing but certain
- collections of simple ideas that have been observed or
d supposed constantly to exist together. But such a com-

plex idea cannot be the real essence of any",650193,650626,0.848,Meaning Match,T145358,history,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",X-encyclopædia britannica,1778,English,Edinburgh,
6,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",888800101,"another, but only imaginarily, or il our conception.
COMPLEX ideas, in logic, are such as are compounded of fevcral
simple ones. See TERM and IDEA.
COMPLEX propoJition, is either that which has at least one of
it's terms complex, or such as contains several members, as cafilal
propositions: or it is several ideas offering themselves to our
thoughts at once, whereby we are led to affirm the fame thing of
different",6499410,6499826,0.847,Meaning Match,T128978,education,"The new Royal cyclopædia, and encyclopædia; or, complete, modern and universal dictionary of arts and sciences. ... Illustrated with ... copper-plates, ... In three ... volumes. ... By George Selby Howard, ... Assisted by many gentlemen ... John Bettesworth, ... Henry Boswell, ... Felix Stonehouse, D.D. and others.",X-the new royal cyclopædia,1788,English,London,
7,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1731900101,"; that of which the existence presupposes the exiftenice

of something else.,.

Modes I call such complex ideas, which, however cormi-

pounded, contain not in them the supposition of subsisting by
themselves, but are considered as dependencies on, or affedions
of substances; such are the ideas signified by the words tri-
angle, gratitude, murder. Locke.

DEPE'NDANT. adj. [from",4856026,4856406,0.847,Paraphrase,T118173,history,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. To which are prefixed, A history of the language, and An English grammar. By Samuel Johnson, A.M. In two volumes",294-dictionary of english language,1765,English,London,"johnson, samuel, 1709-1784"
8,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",847000102,"from them, no other than a power to produce thelc lien-
fations in us.
Complex ideas are those notions or conceptions of
things that result from the various combinations and
union of our limple ideas. These are of two principal
kinds, namely, fich as are derived fiom without, and
ieprclent thole combinations of simple ideas, that have a
real existence in nature, and are conceived to co-exiit in",406921,407318,0.846,Meaning Match,T215223,education,"A new royal and universal dictionary of arts and sciences: or, complete system of human knowledge. Containing, Not only all the various Improvements that have been made by the Learned and Ingenious in every Part of Europe to the present Times; but also a very great variety of useful discoveries, which have been communicated to the Authors of this Work, by Gentlemen of distinguished abilities; whereby every Difficulty attending the Study of the Arts and Sciences is distinctly cleared, and the Whole explained in the most easy and intelligent Manner. Among the various Branches treated of in this Work, are the following: Agriculture, Algebra, Anatomy, Architecture, Arithmetic, Astronomy, Book-Keeping, Botany, Chemistry, Chronology, Commerce, Conics, Cosmography, Criticism, Dialing, Dioptrics, Ethics, Farriery, Fluxions, Fortification Gardening, Gauging, Geography, Geometry, Grammar, Gunnery, Handicrafts, Heraldry, Horsemanship, Husbandry, Hydraulics, Hydrostatics, Law, Levelling, Logic, Maritime, and Military Affairs, Mathematics, Mechanics, Merchandize, Metaphysics, Meteorology, Music, Navigation, Optics, Painting, Perspective, Pharmacy, Philosophy, Physic, Pneumatics, Poetry, Rhetoric, Sculpture, Series and Statics, Statuary, Surgery, Surveying, Theology, Trigonometry, &c. Embellished with upwards of One Hundred Copper-Plates, (among which are twelve large Plates of the Zodiac, from Original Drawings, executed by eminent Astronomers) drawn from real Objects, by the most eminent Artists, and engraved by the best Hands; containing full and exact Representations of the various Instruments, Machines, Tools, Plans, Figures, &c. necessary to illustrate this Work. The anatomical, chemical, and medicinal parts by M. Hinde, M. D. The mathematical parts by W. Squire, Author of The Modern Book-Keeper; gardening and botany by J. Marshall, Gardener, at Knightsbridge; criticism, grammar, poetry, theology, &c. by the Rev. Thomas Cooke, A. B. Author of The Universal Letter-Writer; or, New Art of Polite Correspondence and the other parts by gentlemen of eminence in the several Departments they have undertaken to elucidate.",X-a new royal and universal dictionary of arts and sciences,1772,English,London,
9,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",168300500,"some but
differ in other parts, it then separates the parts
which agree from those which do not; and the
simple idea becomes a complex one; these may
be called complex in their nature or substances:
arbitrary ones are formed by adding several
simple ideas together.

14. Ideas and effets which always accompany
each other, are supposed to be derived from the
fame cause, e. g. If a body is interposed be-
tween our two hands they cannot come",7702,8143,0.844,Meaning Match,T133198,philosophy,"An essay on the principles of human knowledge. By E. Waring, M.D. Lucasian Professor Of Mathematics In The University Of Cambridge, And Fellow Of The Royal Societies Of London, Bononia And Gottingen.",157721-an essay on principles of human knowledge by e,1794,English,Cambridge,"waring, edward, 1734-1798"
